name;tagline;description;price;category;ingredients;isBestseller;imageUrl
Vitamin C Boost;"Per chi vuole risultati, non promesse.";"Formula a base di Vitamina C stabile al 15%. Nessun filler, nessuna scusa. Schiarisce le macchie, uniforma il tono, lascia la pelle luminosa in 4 settimane o ti ridiamo i soldi.";28;Siero;"Vitamina C 15%, Niacinamide 5%, Vitamina E";true;https://picsum.photos/seed/skinlab-1/800/1000
Retinol Night Fix;"Dormi. Il siero fa il lavoro sporco.";"0,5% di retinolo incapsulato. Agisce mentre dormi su rughe fini, texture irregolare e cedimento. Non ustiona se usi la SPF di giorno, promesso.";42;Siero;"Retinolo 0.5%, Bakuchiol, Pantenolo";false;https://picsum.photos/seed/skinlab-2/800/1000
Niacinamide 10% Pure;"Pori visibili? Non più un'opinione.";"Niacinamide al 10% + Zinco 1%. Riduce la produzione di sebo, minimizza i pori, contrasta le macchie post-acne. Senza profumo, senza fronzoli.";24;Siero;"Niacinamide 10%, Zinco PCA 1%";false;https://picsum.photos/seed/skinlab-3/800/1000
Peptide Complex;"Segnali di rinnovamento, non di resa.";"Cinque peptidi segnalatori combinati per stimolare la produzione di collagene. Pelle più compatta, meno visibilità delle rughe. La scienza batte le creme miracolo.";36;Siero;"Matrixyl 3000, Argireline, Leuphasyl, Syn-Coll, Deepaline";false;https://picsum.photos/seed/skinlab-4/800/1000
Hyaluronic Boost;"Tre pesi molecolari. Un'idratazione seria.";"Acido ialuronico a basso, medio e alto peso molecolare. Idrata a tutti gli strati dell'epidermide. Non solo superficie: profondità vera.";30;Siero;"Acido Ialuronico 2% (tre pesi molecolari), Glicerina";false;https://picsum.photos/seed/skinlab-5/800/1000
Hydra Dense;"Idratazione seria. Senza storie.";"Crema ricca ma non grassa. Ceramidi + Colesterolo + Acidi Grassi nel rapporto fisiologico identico a quello della tua pelle. Ripara la barriera, mantiene l'umidità.";34;Crema;"Ceramidi NP 1%, Colesterolo, Acido Linoleico";true;https://picsum.photos/seed/skinlab-6/800/1000
Barrier Repair Balm;"Per la pelle che ne ha viste troppe.";"Formula intensa per pelle compromessa, arrossata o ipersensibile. Azelaica + Bisabololo + Pantenolo. Calma, ripara, riduce il rossore in 48 ore.";38;Crema;"Acido Azelaico 10%, Bisabololo, Pantenolo 5%";false;https://picsum.photos/seed/skinlab-7/800/1000
SPF 50 Urban Shield;"Il sole non aspetta che tu sia pronto.";"SPF 50 PA++++ a filtri chimici ultraleggeri. Finish invisibile, niente cast bianco, compatibile con il trucco. Scusa l'abbronzatura per non averla: non ce n'è una valida.";26;Crema;"Tinosorb S 10%, Tinosorb M 5%, Niacinamide 3%";false;https://picsum.photos/seed/skinlab-8/800/1000
Rich Night Cream;"Otto ore di sonno per la tua pelle.";"La notte la pelle si rigenera più velocemente. Questa crema lo sfrutta: retinolo 0,2%, bakuchiol, burro di karité. Svegliarsi diversi, in senso buono.";44;Crema;"Retinolo 0.2%, Bakuchiol, Burro di Karité, Squalene";false;https://picsum.photos/seed/skinlab-9/800/1000
Eye Zone Fix;"Occhiaie e rughe non sono un destino.";"Formula contorno occhi con caffeina drenante, retinale a bassa percentuale e peptidi. Riduce il gonfiore mattutino e le rughe a zampa di gallina in 6 settimane.";32;Crema;"Caffeina 2%, Retinale 0.05%, Peptidi del Collagene";false;https://picsum.photos/seed/skinlab-10/800/1000
AHA Glow Toner;"Il tuo turno, pori.";"Glicolico 7% + Mandelico 3%. Esfoliazione chimica delicata per texture levigata, luminosità e pori meno evidenti. Usa di sera, SPF di giorno, nessuna discussione.";22;Tonico;"Acido Glicolico 7%, Acido Mandelico 3%, Aloe Vera";false;https://picsum.photos/seed/skinlab-11/800/1000
BHA Clear Toner;"Brufoli: avete rotto.";"Salicilico 2% in soluzione acquosa a pH 3,2. Penetra nei pori, scioglie il sebo, previene punti neri e imperfezioni. Formulato per pelli grasse e miste senza compromessi.";25;Tonico;"Acido Salicilico 2%, Zinco, Tè Verde";false;https://picsum.photos/seed/skinlab-12/800/1000
PHA Gentle Toner;"Esfoliazione senza dramma.";"Gluconolattone 5% + Lattobionico 3%. Esfolianti di nuova generazione: efficaci come AHA ma tollerati anche dalle pelli sensibili. Umidificano mentre esfoliano.";20;Tonico;"Gluconolattone 5%, Acido Lattobionico 3%, B5";false;https://picsum.photos/seed/skinlab-13/800/1000
Ferment Essence;"La fermentazione fa cose. Fidati.";"Galattomuces Ferment Filtrate + Bifida Ferment Lysate. Migliora la texture, uniforma il tono, rinforza la barriera. La biotecnologia koreana non ha bisogno di spiegazioni.";28;Tonico;"Galattomuces 90%, Bifida Ferment Lysate, Adenosina";false;https://picsum.photos/seed/skinlab-14/800/1000
